day,month,year,hour,minute,second,curLat,curLon,wpLat,wpLon,heading
18,4,2015,9,19,7,59.131134,10.266272,59.132374,10.265500,342.349304
18,4,2015,9,19,8,59.131119,10.266216,59.132374,10.265500,343.699615
18,4,2015,9,19,9,59.131104,10.266165,59.132374,10.265500,344.983887
18,4,2015,9,19,10,59.131077,10.266115,59.132374,10.265500,346.340424
18,4,2015,9,19,11,59.131054,10.266068,59.132374,10.265500,347.583588
18,4,2015,9,19,12,59.131023,10.266031,59.132374,10.265500,348.609375
18,4,2015,9,19,13,59.130989,10.265995,59.132374,10.265500,349.616638
18,4,2015,9,19,14,59.130959,10.265959,59.132374,10.265500,350.598724
18,4,2015,9,19,15,59.130917,10.265922,59.132374,10.265500,351.595734
18,4,2015,9,19,16,59.130882,10.265885,59.132374,10.265500,352.476440
18,4,2015,9,19,17,59.130840,10.265852,59.132374,10.265500,353.302277
18,4,2015,9,19,18,59.130810,10.265817,59.132374,10.265500,354.068268
18,4,2015,9,19,19,59.130768,10.265783,59.132374,10.265500,354.844757
18,4,2015,9,19,20,59.130730,10.265745,59.132374,10.265500,355.632629
18,4,2015,9,19,21,59.130688,10.265705,59.132374,10.265500,356.434265
18,4,2015,9,19,22,59.130638,10.265667,59.132374,10.265500,357.181305
18,4,2015,9,19,23,59.130600,10.265627,59.132374,10.265500,357.909302
18,4,2015,9,19,24,59.130558,10.265585,59.132374,10.265500,358.632690
18,4,2015,9,19,25,59.130524,10.265543,59.132374,10.265500,359.322083
18,4,2015,9,19,26,59.130486,10.265502,59.132374,10.265500,359.973480
18,4,2015,9,19,27,59.130451,10.265460,59.132374,10.265500,0.612396
18,4,2015,9,19,28,59.130417,10.265420,59.132374,10.265500,1.203308
18,4,2015,9,19,29,59.130386,10.265378,59.132374,10.265500,1.805084
18,4,2015,9,19,30,59.130352,10.265331,59.132374,10.265500,2.456421
18,4,2015,9,19,31,59.130322,10.265275,59.132374,10.265500,3.219421
18,4,2015,9,19,32,59.130295,10.265203,59.132374,10.265500,4.185089
18,4,2015,9,19,33,59.130272,10.265128,59.132374,10.265500,5.187347
18,4,2015,9,19,34,59.130264,10.265055,59.132374,10.265500,6.183289
18,4,2015,9,19,35,59.130249,10.264981,59.132374,10.265500,7.146301
18,4,2015,9,19,36,59.130241,10.264907,59.132374,10.265500,8.104523
18,4,2015,9,19,37,59.130230,10.264833,59.132374,10.265500,9.063080
18,4,2015,9,19,38,59.130222,10.264760,59.132374,10.265500,10.010498
18,4,2015,9,19,39,59.130222,10.264695,59.132374,10.265500,10.867889
18,4,2015,9,19,40,59.130222,10.264637,59.132374,10.265500,11.630920
18,4,2015,9,19,41,59.130241,10.264585,59.132374,10.265500,12.399323
18,4,2015,9,19,42,59.130257,10.264539,59.132374,10.265500,13.112854
18,4,2015,9,19,43,59.130280,10.264506,59.132374,10.265500,13.666718
18,4,2015,9,19,44,59.130314,10.264486,59.132374,10.265500,14.159149
18,4,2015,9,19,45,59.130348,10.264470,59.132374,10.265500,14.608032
18,4,2015,9,19,46,59.130379,10.264455,59.132374,10.265500,15.046906
18,4,2015,9,19,47,59.130417,10.264441,59.132374,10.265500,15.487274
18,4,2015,9,19,48,59.130451,10.264432,59.132374,10.265500,15.881042
18,4,2015,9,19,49,59.130493,10.264423,59.132374,10.265500,16.331024
18,4,2015,9,19,50,59.130535,10.264415,59.132374,10.265500,16.798798
18,4,2015,9,19,51,59.130573,10.264410,59.132374,10.265500,17.234619
18,4,2015,9,19,52,59.130623,10.264405,59.132374,10.265500,17.752991
18,4,2015,9,19,53,59.130665,10.264405,59.132374,10.265500,18.149841
18,4,2015,9,19,54,59.130703,10.264401,59.132374,10.265500,18.618073
18,4,2015,9,19,55,59.130753,10.264400,59.132374,10.265500,19.140167
18,4,2015,9,19,56,59.130795,10.264400,59.132374,10.265500,19.597870
18,4,2015,9,19,57,59.130833,10.264395,59.132374,10.265500,20.177429
18,4,2015,9,19,58,59.130867,10.264395,59.132374,10.265500,20.595978
18,4,2015,9,19,59,59.130905,10.264395,59.132374,10.265500,21.120667
18,4,2015,9,20,0,59.130947,10.264395,59.132374,10.265500,21.671478
18,4,2015,9,20,1,59.130989,10.264392,59.132374,10.265500,22.296783
18,4,2015,9,20,2,59.131031,10.264387,59.132374,10.265500,23.001556
18,4,2015,9,20,3,59.131069,10.264381,59.132374,10.265500,23.742615
18,4,2015,9,20,4,59.131119,10.264379,59.132374,10.265500,24.607056
18,4,2015,9,20,5,59.131161,10.264374,59.132374,10.265500,25.418182
18,4,2015,9,20,6,59.131207,10.264374,59.132374,10.265500,26.320557
18,4,2015,9,20,7,59.131248,10.264381,59.132374,10.265500,26.983704
18,4,2015,9,20,8,59.131290,10.264392,59.132374,10.265500,27.633911
18,4,2015,9,20,9,59.131340,10.264400,59.132374,10.265500,28.521088
18,4,2015,9,20,10,59.131378,10.264413,59.132374,10.265500,29.232056
18,4,2015,9,20,11,59.131420,10.264426,59.132374,10.265500,29.953522
18,4,2015,9,20,12,59.131458,10.264437,59.132374,10.265500,30.808868
18,4,2015,9,20,13,59.131500,10.264452,59.132374,10.265500,31.602478
18,4,2015,9,20,14,59.131550,10.264465,59.132374,10.265500,32.715759
18,4,2015,9,20,15,59.131599,10.264479,59.132374,10.265500,33.955658
18,4,2015,9,20,16,59.131649,10.264497,59.132374,10.265500,35.408783
18,4,2015,9,20,17,59.131687,10.264515,59.132565,10.265028,16.635284
18,4,2015,9,20,18,59.131737,10.264539,59.132565,10.265028,16.762726
18,4,2015,9,20,19,59.131786,10.264562,59.132767,10.264420,355.716858
18,4,2015,9,20,20,59.131828,10.264585,59.132767,10.264420,354.837585
18,4,2015,9,20,21,59.131874,10.264611,59.132767,10.264420,353.714264
18,4,2015,9,20,22,59.131916,10.264640,59.132767,10.264420,352.399658
18,4,2015,9,20,23,59.131947,10.264664,59.132900,10.263984,339.966614
18,4,2015,9,20,24,59.131989,10.264690,59.132900,10.263984,338.406677
18,4,2015,9,20,25,59.132030,10.264718,59.132900,10.263984,336.689789
18,4,2015,9,20,26,59.132072,10.264745,59.132900,10.263984,334.903229
18,4,2015,9,20,27,59.132118,10.264773,59.132900,10.263984,332.713715
18,4,2015,9,20,28,59.132160,10.264800,59.133102,10.263250,319.854065
18,4,2015,9,20,29,59.132210,10.264833,59.133102,10.263250,317.554199
18,4,2015,9,20,30,59.132259,10.264862,59.133102,10.263250,315.466522
18,4,2015,9,20,31,59.132298,10.264894,59.133102,10.263250,313.721832
18,4,2015,9,20,32,59.132339,10.264925,59.133102,10.263250,311.433044
18,4,2015,9,20,33,59.132370,10.264954,59.133102,10.263250,309.907013
18,4,2015,9,20,34,59.132404,10.264980,59.133102,10.263250,308.134003
